,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D
250,2025-02-19,Aston Villa,Liverpool,2,2,D,2,1,H,3.9,1.83,4.0
251,2025-02-21,Leicester,Brentford,0,4,A,0,3,A,3.6,1.91,3.8
252,2025-02-22,Everton,Man United,2,2,D,2,0,H,2.5,2.9,3.2
253,2025-02-22,Arsenal,West Ham,0,1,A,0,1,A,1.27,10.0,6.0
254,2025-02-22,Bournemouth,Wolves,0,1,A,0,1,A,1.53,5.5,4.5
255,2025-02-22,Fulham,Crystal Palace,0,2,A,0,1,A,2.05,3.7,3.4
256,2025-02-22,Ipswich,Tottenham,1,4,A,1,2,A,4.1,1.9,3.6
257,2025-02-22,Southampton,Brighton,0,4,A,0,1,A,6.0,1.55,4.1
258,2025-02-22,Aston Villa,Chelsea,2,1,H,0,1,A,2.63,2.6,3.4
259,2025-02-23,Newcastle,Nott'm Forest,4,3,H,4,1,H,1.8,4.2,3.8
260,2025-02-23,Man City,Liverpool,0,2,A,0,2,A,2.88,2.25,3.8
261,2025-02-25,Brighton,Bournemouth,2,1,H,1,0,H,2.0,3.3,3.8
262,2025-02-25,Crystal Palace,Aston Villa,4,1,H,1,0,H,2.45,2.8,3.4
263,2025-02-25,Wolves,Fulham,1,2,A,1,1,D,2.63,2.63,3.3
264,2025-02-25,Chelsea,Southampton,4,0,H,3,0,H,1.17,13.0,8.0
265,2025-02-26,Brentford,Everton,1,1,D,1,0,H,2.0,3.5,3.7
266,2025-02-26,Man United,Ipswich,3,2,H,2,2,D,1.53,6.0,4.33
267,2025-02-26,Nott'm Forest,Arsenal,0,0,D,0,0,D,3.9,1.95,3.6
268,2025-02-26,Tottenham,Man City,0,1,A,0,1,A,3.25,2.0,4.0
269,2025-02-26,Liverpool,Newcastle,2,0,H,1,0,H,1.5,5.75,4.5
270,2025-02-27,West Ham,Leicester,2,0,H,2,0,H,1.62,5.0,4.2
271,2025-03-08,Nott'm Forest,Man City,1,0,H,0,0,D,4.0,1.85,3.75
272,2025-03-08,Brighton,Fulham,2,1,H,1,1,D,1.95,3.75,3.6
273,2025-03-08,Crystal Palace,Ipswich,1,0,H,0,0,D,1.45,6.25,4.75
274,2025-03-08,Liverpool,Southampton,3,1,H,0,1,A,1.1,19.0,9.0
275,2025-03-08,Brentford,Aston Villa,0,1,A,0,0,D,2.2,2.9,3.8
276,2025-03-08,Wolves,Everton,1,1,D,1,1,D,2.6,2.88,3.1
277,2025-03-09,Chelsea,Leicester,1,0,H,0,0,D,1.18,12.0,8.0
278,2025-03-09,Tottenham,Bournemouth,2,2,D,0,1,A,2.7,2.35,3.9
279,2025-03-09,Man United,Arsenal,1,1,D,1,0,H,5.75,1.7,3.5
280,2025-03-10,West Ham,Newcastle,0,1,A,0,0,D,3.25,2.2,3.4
281,2025-03-15,Everton,West Ham,1,1,D,0,0,D,2.05,3.9,3.2
282,2025-03-15,Ipswich,Nott'm Forest,2,4,A,0,3,A,3.75,2.0,3.5
283,2025-03-15,Man City,Brighton,2,2,D,2,1,H,1.67,4.5,4.33
284,2025-03-15,Southampton,Wolves,1,2,A,0,1,A,3.7,2.0,3.4
