,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
72,04/10/2024,Westerlo,Beerschot VA,2,2,D,0.0,1.0,A,1.36,7.5,5.0,16,6,15,20,10.0,2.0,7.0,12.0,11,1,L,L,D,L,L,L,D,L,L,L,9
73,05/10/2024,Mechelen,Oud-Heverlee Leuven,5,0,H,2.0,0.0,H,2.15,3.1,3.6,12,10,12,7,6.0,6.0,8.0,4.0,11,11,W,D,L,L,W,W,W,D,L,D,9
74,05/10/2024,Kortrijk,Genk,2,1,H,2.0,1.0,H,6.0,1.45,4.75,6,18,12,10,2.0,7.0,6.0,6.0,8,19,D,W,L,W,D,W,L,W,W,W,9
75,05/10/2024,Dender,Charleroi,1,0,H,1.0,0.0,H,3.2,2.2,3.4,12,11,14,8,7.0,8.0,7.0,4.0,11,13,L,D,L,W,W,L,L,W,D,L,9
76,06/10/2024,Anderlecht,Standard,3,0,H,2.0,0.0,H,1.55,5.75,4.1,9,4,7,3,5.0,1.0,5.0,1.0,13,12,D,D,L,W,D,L,D,W,W,L,9
77,06/10/2024,Antwerp,Cercle Brugge,3,0,H,2.0,0.0,H,1.65,4.75,4.0,13,10,7,16,6.0,7.0,4.0,9.0,13,7,W,W,W,L,D,L,L,L,L,D,9
78,06/10/2024,Club Brugge,St. Gilloise,1,1,D,0.0,0.0,D,1.91,3.75,3.6,14,7,10,7,6.0,3.0,3.0,3.0,13,10,L,D,W,L,W,D,W,D,W,W,9
79,06/10/2024,St Truiden,Gent,1,1,D,0.0,1.0,A,3.3,2.05,3.7,11,14,16,9,5.0,8.0,7.0,3.0,9,13,W,L,W,W,D,W,D,D,D,W,9
80,18/10/2024,Beerschot VA,Anderlecht,2,1,H,1.0,0.0,H,5.25,1.48,4.33,6,9,20,7,2.0,5.0,12.0,5.0,1,13,L,D,L,L,L,D,L,D,L,W,9
81,19/10/2024,Westerlo,Club Brugge,1,2,A,1.0,2.0,A,3.9,1.7,4.0,18,15,16,11,11.0,6.0,7.0,3.0,14,14,W,D,L,L,D,W,L,W,D,W,10
