,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
55,28/09/2024,Estrela,Moreirense,2,1,H,2,0,H,2.9,2.45,3.2,3,8,9,9,1,4,4,2,2,8,L,D,D,L,L,D,L,L,L,W,7
56,28/09/2024,Casa Pia,Guimaraes,1,1,D,1,0,H,3.9,2.0,3.25,5,6,8,5,0,3,2,1,7,12,D,L,W,W,W,W,L,L,L,W,7
57,28/09/2024,Benfica,Gil Vicente,5,1,H,2,1,H,1.2,11.0,7.0,12,6,4,7,5,3,2,4,13,7,W,D,W,D,D,D,W,D,W,W,7
58,29/09/2024,Famalicao,Nacional,0,0,D,0,0,D,1.6,5.75,3.75,8,4,3,12,5,3,1,4,11,4,D,L,D,L,L,W,W,L,W,L,7
59,29/09/2024,Porto,Arouca,4,0,H,0,0,D,1.2,15.0,6.25,12,3,3,8,5,3,0,5,15,6,W,W,W,L,L,L,W,W,W,L,7
60,29/09/2024,Santa Clara,Boavista,1,0,H,1,0,H,1.57,5.5,4.0,10,3,8,7,3,2,6,5,12,5,W,L,L,D,W,D,W,L,L,L,7
61,29/09/2024,Sp Braga,Rio Ave,4,0,H,2,0,H,1.36,8.0,4.75,8,5,4,8,2,3,0,4,11,7,W,D,L,L,D,W,W,L,W,W,7
62,30/09/2024,AVS,Farense,0,0,D,0,0,D,1.91,4.0,3.5,6,2,10,13,3,0,6,6,7,0,L,L,W,L,L,L,W,L,L,L,7
63,04/10/2024,Rio Ave,Famalicao,1,1,D,0,0,D,2.9,2.6,3.0,5,8,12,3,3,5,6,1,7,12,L,D,D,D,L,D,W,L,L,W,8
64,05/10/2024,Gil Vicente,Estrela,3,0,H,2,0,H,1.85,4.2,3.5,7,5,12,10,4,3,6,4,7,5,L,W,D,L,D,D,D,L,D,L,8
65,05/10/2024,Moreirense,Santa Clara,1,0,H,0,0,D,2.4,2.88,3.25,9,11,11,8,4,4,4,6,8,15,L,W,D,W,L,L,D,W,L,W,8
66,05/10/2024,Arouca,AVS,1,1,D,1,0,H,2.05,3.3,3.5,3,6,12,10,3,3,5,6,6,8,L,D,W,L,L,W,L,L,W,W,8
67,05/10/2024,Sp Lisbon,Casa Pia,2,0,H,1,0,H,1.13,13.0,10.0,25,6,2,9,11,1,1,2,21,8,W,D,W,D,W,W,W,W,W,L,8
68,06/10/2024,Farense,Estoril,1,0,H,0,0,D,2.25,3.1,3.4,2,4,13,10,0,2,6,5,1,6,D,L,L,D,L,W,L,D,L,D,8
69,06/10/2024,Guimaraes,Boavista,2,2,D,1,0,H,1.42,8.5,4.2,7,3,6,8,3,2,2,6,13,5,D,L,L,L,W,D,W,D,L,L,8
70,06/10/2024,Porto,Sp Braga,2,1,H,1,0,H,1.6,6.0,3.75,16,12,3,4,5,4,0,0,18,14,W,W,W,W,W,L,L,D,W,W,8
71,25/10/2024,Casa Pia,Nacional,1,0,H,1,0,H,2.1,3.4,3.4,6,4,9,12,1,3,2,4,8,5,D,D,D,L,W,L,W,W,L,L,8
