,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
39,6035,2024-09-15,Willem II,Waalwijk,3,0,H,2,1,5,2,4,12,2,3,3,5,5,0,L,L,D,L,W,L,M,M,M,M,5
40,6036,2024-09-15,Heracles,Almere City FC,0,0,D,0,0,2,2,7,12,4,3,1,2,2,1,L,D,D,L,L,L,D,L,M,M,5
41,6037,2024-09-17,Twente,Heerenveen,2,0,H,2,0,5,6,5,11,1,7,4,8,5,4,D,L,L,W,D,D,W,L,M,M,5
42,6038,2024-09-18,Ajax,Fortuna Sittard,5,0,H,2,3,8,5,3,4,6,2,3,2,7,6,D,L,W,L,L,W,W,W,M,M,5
43,6039,2024-09-20,PEC Zwolle,AZ Alkmaar,1,2,A,0,1,4,5,7,0,2,1,4,0,3,10,W,W,L,D,L,W,L,W,M,M,5
44,6040,2024-09-21,Utrecht,Willem II,3,2,H,2,1,6,5,3,4,3,2,2,3,10,5,W,L,W,D,D,W,W,D,M,M,5
45,6041,2024-09-21,Waalwijk,Sparta Rotterdam,1,2,A,0,1,2,5,15,5,4,3,7,1,0,6,L,L,L,W,L,D,L,D,M,M,6
46,6042,2024-09-21,GO Ahead Eagles,Ajax,1,1,D,0,1,4,10,8,3,3,6,5,3,6,10,W,W,L,D,W,W,L,L,M,M,6
47,6043,2024-09-21,NEC Nijmegen,Heracles,1,2,A,1,0,5,2,5,7,1,4,4,1,6,3,L,D,W,L,W,D,L,L,M,M,6
48,6044,2024-09-22,Heerenveen,Groningen,2,1,H,1,1,6,9,13,5,7,4,10,4,4,9,L,D,L,D,W,D,D,W,M,M,6
49,6045,2024-09-22,Feyenoord,NAC Breda,2,0,H,1,1,11,5,5,11,5,6,2,6,9,6,W,W,D,L,D,L,W,W,M,M,6
50,6046,2024-09-22,Almere City FC,Twente,0,5,A,0,0,2,7,12,5,3,3,2,4,2,8,D,W,D,D,L,L,L,D,L,W,6
51,6047,2024-09-22,Fortuna Sittard,PSV Eindhoven,1,3,A,1,0,5,20,9,3,5,8,4,4,6,15,L,W,L,W,L,W,W,W,W,W,6
52,6048,2024-09-27,Heracles,Heerenveen,2,1,H,1,1,2,6,7,13,4,7,1,10,3,4,D,L,L,L,D,W,L,D,D,L,6
53,6049,2024-09-28,Willem II,PSV Eindhoven,0,2,A,0,0,8,20,4,3,4,8,4,4,8,15,W,W,L,W,D,W,W,W,D,W,6
54,6050,2024-09-28,NEC Nijmegen,Feyenoord,1,1,D,1,0,6,12,7,6,2,5,4,3,6,10,L,D,L,W,W,D,W,D,L,W,7
55,6051,2024-09-28,Sparta Rotterdam,Fortuna Sittard,1,1,D,1,0,7,6,6,12,4,6,1,4,9,6,W,L,L,L,W,L,D,L,D,W,7
56,6052,2024-09-29,PEC Zwolle,Almere City FC,1,0,H,0,1,6,2,10,17,3,3,5,2,4,2,L,L,D,D,W,D,L,L,L,L,7
57,6053,2024-09-29,Groningen,GO Ahead Eagles,0,1,A,0,0,10,5,7,9,5,3,5,6,9,7,L,D,D,W,D,L,D,W,W,L,7
58,6054,2024-09-29,Twente,NAC Breda,1,0,H,0,1,12,5,5,13,3,7,4,7,11,6,W,L,W,W,D,L,L,L,D,W,7
59,6055,2024-09-29,Waalwijk,Ajax,0,2,A,0,0,3,13,17,4,4,7,8,5,0,13,L,W,L,W,L,D,L,W,L,L,7
60,6056,2024-09-29,AZ Alkmaar,Utrecht,1,2,A,1,0,16,11,2,6,4,5,7,4,16,16,W,W,W,W,W,W,D,W,W,D,7
61,6057,2024-10-04,Almere City FC,Willem II,0,1,A,0,0,2,10,17,7,3,5,2,6,2,8,L,L,D,W,D,L,L,D,L,W,7
62,6058,2024-10-05,NAC Breda,NEC Nijmegen,1,0,H,0,1,5,6,13,7,7,2,7,4,6,6,L,L,W,L,L,W,L,W,W,L,7
63,6059,2024-10-05,PSV Eindhoven,Sparta Rotterdam,2,1,H,2,0,25,8,4,7,8,5,5,1,21,10,W,D,W,W,W,L,W,W,W,D,8
64,6060,2024-10-05,Utrecht,Waalwijk,3,2,H,1,2,14,3,8,19,6,4,6,8,19,0,W,L,W,L,W,L,W,L,W,L,8
