,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,FTR_original,HomeForm,HomeGD,DrawRate_Home,WinRate_Home,GoalsAvg_Home,AwayForm,AwayGD,DrawRate_Away,WinRate_Away,GoalsAvg_Away,Year,Month,Weekday,OddsRatio_HA,OddsDiff_HD,OddsDiff_AD,OddsGap_MinDelta,Form_Diff,IsDraw
30,2002-11-02,Lyon,Nice,2.0,2.0,1,0.0,1.0,2,1.667,5.0,3.1,D,3,-6.0,0.0,0.0,0.0,3,-5.0,0.0,0.0,0.0,2002,11,5,0.33340000000000003,-1.433,1.9,3.333,0,1
31,2003-05-03,Troyes,Sochaux,0.0,2.0,2,0.0,0.0,0,2.5,2.5,3.1,A,3,-4.0,0.0,0.0,0.0,3,-1.0,0.0,0.0,0.0,2003,5,5,1.0,-0.6000000000000001,-0.6000000000000001,0.6000000000000001,0,0
32,2003-05-03,Bordeaux,Auxerre,0.0,1.0,2,0.0,0.0,0,1.8,4.2,3.0,A,3,2.0,0.0,0.0,0.0,3,2.0,0.0,0.0,0.0,2003,5,5,0.42857142857142855,-1.2,1.2000000000000002,2.4000000000000004,0,0
33,2003-05-03,Guingamp,Lens,1.0,0.0,0,1.0,0.0,1,1.909,3.75,3.0,H,3,5.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2003,5,5,0.5090666666666667,-1.091,0.75,1.841,0,0
34,2003-05-03,Le Havre,Ajaccio,0.0,1.0,2,0.0,0.0,0,1.833,3.75,3.2,A,3,4.0,0.0,0.0,0.0,3,-4.0,0.0,0.0,0.0,2003,5,5,0.4888,-1.3670000000000002,0.5499999999999998,1.917,0,0
35,2003-05-03,Lille,Rennes,1.0,0.0,0,1.0,0.0,1,2.0,3.4,3.0,H,3,2.0,0.0,0.0,0.0,3,5.0,0.0,0.0,0.0,2003,5,5,0.5882352941176471,-1.0,0.3999999999999999,1.4,0,0
36,2003-05-03,Marseille,Bastia,2.0,1.0,0,1.0,0.0,1,1.333,8.0,4.0,H,3,-2.0,0.0,0.0,0.0,3,-6.0,0.0,0.0,0.0,2003,5,5,0.166625,-2.667,4.0,6.667,0,0
37,2003-05-03,Montpellier,Nantes,1.0,0.0,0,1.0,0.0,1,2.3,2.625,3.2,H,3,6.0,0.0,0.0,0.0,3,-2.0,0.0,0.0,0.0,2003,5,5,0.8761904761904761,-0.9000000000000004,-0.5750000000000002,0.9000000000000004,0,0
38,2003-05-03,Nice,Sedan,0.0,0.0,1,0.0,0.0,0,1.667,4.5,3.3,D,3,1.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,2003,5,5,0.37044444444444447,-1.6329999999999998,1.2000000000000002,2.833,0,1
39,2003-05-03,Strasbourg,Lyon,0.0,4.0,2,0.0,1.0,2,3.2,2.0,3.2,A,3,1.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,2003,5,5,1.6,0.0,-1.2000000000000002,1.2000000000000002,0,0
