,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
116,2024-12-01,Marseille,Monaco,2,1,H,27,21,16,10,23,26,W,W,L,W,W,L,L,L,W,D,13
117,2024-12-06,Lille,Stade Brestois 29,3,1,H,21,19,13,23,23,16,D,W,W,L,D,L,D,L,W,W,14
118,2024-12-06,Auxerre,Paris Saint Germain,0,0,D,21,37,21,11,19,33,L,D,W,W,W,W,W,W,D,W,14
119,2024-12-07,Monaco,Toulouse,2,0,H,22,15,12,14,26,18,L,W,W,L,W,W,L,W,L,W,14
120,2024-12-07,Nice,Le Havre,2,1,H,24,10,16,24,20,12,L,L,W,W,D,L,W,W,W,L,14
121,2024-12-07,Angers,Lyon,0,3,A,14,23,21,17,13,22,W,W,L,D,L,W,W,D,W,D,14
122,2024-12-08,Lens,Montpellier,2,0,H,15,13,12,34,20,8,W,D,L,L,W,W,L,L,L,L,14
123,2024-12-08,Nantes,Rennes,1,0,H,15,18,20,19,11,14,D,W,L,L,L,L,L,L,L,W,14
124,2024-12-08,Strasbourg,Reims,0,0,D,22,20,27,18,13,18,L,L,L,D,L,W,L,L,W,L,14
125,2024-12-08,Saint Etienne,Marseille,0,2,A,11,29,30,17,13,26,L,W,W,W,L,L,W,W,L,L,14
126,2024-12-13,Toulouse,Saint Etienne,2,1,H,15,11,16,32,18,13,L,L,W,L,L,W,W,L,W,W,15
127,2024-12-14,Marseille,Lille,1,1,D,31,24,17,14,29,26,W,W,W,D,W,W,L,D,W,D,15
128,2024-12-14,Auxerre,Lens,2,2,D,21,17,21,12,20,23,D,W,L,W,W,L,W,W,W,L,15
129,2024-12-14,Reims,Monaco,0,0,D,20,24,18,12,19,29,D,W,L,L,D,W,W,W,L,L,15
130,2024-12-15,Montpellier,Nice,2,2,D,13,26,36,17,8,23,L,W,D,L,L,W,W,D,L,W,15
131,2024-12-15,Rennes,Angers,2,0,H,18,14,20,24,14,13,L,L,W,W,L,L,L,L,L,W,15
132,2024-12-15,Stade Brestois 29,Nantes,4,1,H,20,16,26,20,16,14,L,W,W,D,L,L,L,L,L,L,15
133,2024-12-15,Le Havre,Strasbourg,0,3,A,11,22,26,27,12,14,L,D,L,L,W,L,L,L,W,L,15
134,2024-12-15,Paris Saint Germain,Lyon,3,1,H,37,26,11,17,34,25,D,W,D,W,W,D,W,W,W,D,15
