,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
3915,2025-01-15,Werder Bremen,1. FC Heidenheim,3,3,1,2,D,28,20,29,33,9,13,18,14,25,13,L,W,W,L,W,L,W,L,D,L,17
3916,2025-01-15,VfB Stuttgart,RB Leipzig,2,1,0,2,H,30,28,25,22,13,11,18,17,26,30,W,W,L,L,W,W,W,W,D,L,17
3917,2025-01-15,Union Berlin,FC Augsburg,0,2,0,0,A,14,17,21,33,16,17,7,17,17,16,L,L,L,L,D,L,L,D,L,W,17
3918,2025-01-17,Eintracht Frankfurt,Borussia Dortmund,2,0,1,1,H,40,32,24,29,20,18,15,22,33,25,W,L,W,L,L,W,L,D,D,D,18
3919,2025-01-18,Bayern München,VfL Wolfsburg,3,2,2,1,H,53,38,13,29,16,11,20,18,42,27,W,W,W,W,W,L,L,L,W,W,18
3920,2025-01-18,VfB Stuttgart,SC Freiburg,4,0,3,1,H,32,25,26,30,13,22,20,14,29,27,W,L,W,W,L,L,W,W,W,D,18
3921,2025-01-18,VfL Bochum,RB Leipzig,3,3,0,3,D,14,29,37,24,18,13,12,17,9,30,W,L,L,W,W,L,D,W,L,W,18
3922,2025-01-18,1. FC Heidenheim,FC St. Pauli,0,2,0,0,A,23,12,36,21,15,6,15,8,14,14,D,L,W,L,L,W,L,L,L,L,18
3923,2025-01-18,Holstein Kiel,1899 Hoffenheim,1,3,0,1,A,25,20,43,34,16,13,18,17,11,14,W,L,L,L,W,L,L,D,L,D,18
3924,2025-01-18,Bayer Leverkusen,Borussia Mönchengladbach,3,1,1,2,H,41,26,23,26,18,20,15,12,38,24,W,L,W,L,W,W,W,W,W,D,18
3925,2025-01-19,Union Berlin,FSV Mainz 05,2,1,2,0,H,14,30,23,21,16,14,7,9,17,28,L,L,L,W,L,W,D,W,L,L,18
3926,2025-01-19,Werder Bremen,FC Augsburg,0,2,0,0,A,31,19,32,33,10,17,20,17,26,19,D,W,L,L,W,L,W,L,W,D,18
3927,2025-01-24,VfL Wolfsburg,Holstein Kiel,2,2,0,2,D,40,26,32,46,12,16,20,19,27,11,L,L,W,W,W,L,L,W,L,L,19
3928,2025-01-25,SC Freiburg,Bayern München,1,2,0,1,A,25,56,34,15,23,18,17,21,27,45,L,W,L,W,W,W,L,W,W,L,19
3929,2025-01-25,FSV Mainz 05,VfB Stuttgart,2,0,1,1,H,31,36,23,26,14,16,11,21,28,32,L,W,L,W,W,W,W,L,W,W,19
3930,2025-01-25,Borussia Dortmund,Werder Bremen,2,2,1,1,D,32,31,31,34,19,10,23,20,25,26,L,L,L,D,L,L,W,W,D,W,19
3931,2025-01-25,FC Augsburg,1. FC Heidenheim,2,1,1,1,H,21,23,33,38,17,15,17,15,22,14,W,L,W,D,L,W,L,L,L,L,19
3932,2025-01-25,RB Leipzig,Bayer Leverkusen,2,2,1,1,D,32,44,27,24,16,19,17,17,31,41,D,W,L,W,W,W,L,W,W,W,19
3933,2025-01-25,Borussia Mönchengladbach,VfL Bochum,3,0,1,2,H,27,17,29,40,22,18,13,15,24,10,L,D,L,W,L,L,W,W,W,D,19
3934,2025-01-26,1899 Hoffenheim,Eintracht Frankfurt,2,2,0,2,D,23,42,35,24,14,21,17,16,17,36,W,W,L,W,L,W,L,L,D,L,19
3935,2025-01-26,FC St. Pauli,Union Berlin,3,0,1,2,H,14,16,21,24,6,18,8,7,17,20,W,W,L,L,L,L,W,L,L,D,19
3936,2025-01-31,Werder Bremen,FSV Mainz 05,1,0,1,0,H,33,33,36,23,11,15,21,12,27,31,D,W,L,L,D,L,L,W,W,W,20
3937,2025-02-01,Bayern München,Holstein Kiel,4,3,2,2,H,58,28,16,48,19,18,21,19,48,12,W,D,W,L,W,W,W,L,W,W,20
3938,2025-02-01,VfB Stuttgart,Borussia Mönchengladbach,1,2,0,1,A,36,30,28,29,17,23,22,15,32,27,L,W,W,L,W,L,W,L,L,W,20
3939,2025-02-01,VfL Bochum,SC Freiburg,0,1,0,0,A,17,26,43,36,20,23,16,18,10,27,L,L,D,L,W,L,L,W,W,L,20
3940,2025-02-01,1. FC Heidenheim,Borussia Dortmund,1,2,0,1,A,24,34,40,33,16,20,16,24,14,26,L,D,L,L,D,L,W,L,L,W,20
3941,2025-02-01,FC St. Pauli,FC Augsburg,1,1,1,0,D,17,23,21,34,7,18,10,18,20,25,W,W,W,W,L,W,L,L,W,L,20
3942,2025-02-01,Union Berlin,RB Leipzig,0,0,0,0,D,16,34,27,29,20,17,8,18,20,32,L,D,W,D,L,L,L,W,L,L,20
3943,2025-02-02,Eintracht Frankfurt,VfL Wolfsburg,1,1,0,1,D,44,42,26,34,23,12,16,22,37,28,D,D,W,L,W,W,W,W,L,L,20
3944,2025-02-02,Bayer Leverkusen,1899 Hoffenheim,3,1,2,1,H,46,25,26,37,20,14,18,19,42,18,D,D,W,W,W,L,W,L,W,L,20
3945,2025-02-07,Bayern München,Werder Bremen,3,0,0,3,H,62,34,19,36,21,12,23,21,51,30,W,W,W,D,W,L,W,D,W,L,21
3946,2025-02-08,SC Freiburg,1. FC Heidenheim,1,0,1,0,H,27,25,36,42,23,16,18,17,30,14,W,L,L,L,L,L,L,D,W,W,21
3947,2025-02-08,VfL Wolfsburg,Bayer Leverkusen,0,0,0,0,D,43,49,35,27,13,22,22,19,29,45,D,W,D,D,L,W,W,W,W,W,21
3948,2025-02-08,FSV Mainz 05,FC Augsburg,0,0,0,0,D,33,24,24,35,15,18,13,19,31,26,L,D,W,W,L,W,L,W,W,L,21
3949,2025-02-08,Borussia Dortmund,VfB Stuttgart,1,2,0,1,A,36,37,34,30,21,17,24,23,29,32,W,L,D,L,L,W,L,W,L,W,21
3950,2025-02-08,1899 Hoffenheim,Union Berlin,0,4,0,0,A,26,16,40,27,15,20,21,8,18,21,L,D,D,L,W,W,L,L,L,L,21
3951,2025-02-08,Borussia Mönchengladbach,Eintracht Frankfurt,1,1,1,0,D,32,45,30,27,24,23,15,17,30,38,W,D,W,D,L,W,L,W,L,W,21
3952,2025-02-09,Holstein Kiel,VfL Bochum,2,2,1,1,D,31,17,52,44,20,20,21,16,12,10,L,L,D,L,L,D,W,W,L,L,21
3953,2025-02-09,RB Leipzig,FC St. Pauli,2,0,2,0,H,34,18,29,22,17,8,18,10,33,21,D,D,D,W,D,W,L,L,W,L,21
