,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
39,2024-09-28,Borussia Mönchengladbach,Union Berlin,1,0,0,1,H,5,4,8,2,2,4,3,0,3,8,L,W,L,D,W,W,M,M,M,M,5
40,2024-09-28,FSV Mainz 05,1. FC Heidenheim,0,2,0,0,A,8,8,8,7,3,3,4,5,5,6,W,L,L,L,D,W,D,W,M,M,5
41,2024-09-28,RB Leipzig,FC Augsburg,4,0,2,2,H,4,7,2,10,0,5,3,6,8,4,D,L,D,W,W,L,W,D,M,M,5
42,2024-09-28,Bayern München,Bayer Leverkusen,1,1,1,0,D,16,13,3,9,4,6,1,3,12,9,W,W,W,W,W,L,W,W,M,M,5
43,2024-09-29,Holstein Kiel,Eintracht Frankfurt,2,4,1,1,A,5,7,13,4,1,6,5,2,1,9,D,W,L,W,L,W,L,L,M,M,5
44,2024-09-29,1899 Hoffenheim,Werder Bremen,3,4,3,0,A,6,4,11,8,4,0,5,3,3,5,L,L,L,W,L,D,W,D,M,M,5
45,2024-10-04,FC Augsburg,Borussia Mönchengladbach,2,1,1,1,H,7,6,14,8,7,2,8,4,4,6,L,W,L,L,W,L,L,W,M,M,6
46,2024-10-05,Werder Bremen,SC Freiburg,0,1,0,0,A,8,8,11,7,0,2,6,5,8,9,W,L,L,W,W,W,D,L,M,M,6
47,2024-10-05,Bayer Leverkusen,Holstein Kiel,2,2,2,0,D,14,7,10,17,6,2,4,6,10,1,D,L,W,D,W,L,L,L,M,M,6
48,2024-10-05,VfL Bochum,VfL Wolfsburg,1,3,0,1,A,5,10,11,11,8,3,1,6,1,4,L,D,D,L,L,L,L,W,M,M,6
49,2024-10-05,Union Berlin,Borussia Dortmund,2,1,2,0,H,4,11,3,9,5,7,0,8,8,10,L,W,W,L,D,W,W,D,M,M,6
50,2024-10-05,FC St. Pauli,FSV Mainz 05,0,3,0,0,A,4,8,6,10,3,3,1,4,4,5,W,L,D,W,L,L,L,D,L,D,6
51,2024-10-06,1. FC Heidenheim,RB Leipzig,0,1,0,0,A,10,8,7,2,3,2,5,5,9,11,W,W,L,D,L,D,W,W,W,W,6
52,2024-10-06,Eintracht Frankfurt,Bayern München,3,3,2,1,D,11,17,6,4,7,5,3,1,12,13,W,D,W,W,W,W,W,W,L,W,6
53,2024-10-06,VfB Stuttgart,1899 Hoffenheim,1,1,0,1,D,14,9,10,15,7,7,7,5,8,3,D,L,W,L,W,L,D,L,L,W,6
54,2024-10-18,Borussia Dortmund,FC St. Pauli,2,1,1,1,H,12,4,11,9,7,3,10,1,10,4,L,L,W,W,L,D,W,L,D,L,7
55,2024-10-19,SC Freiburg,FC Augsburg,3,1,3,0,H,9,9,7,15,2,8,5,9,12,7,W,W,L,L,W,L,W,W,L,L,7
56,2024-10-19,Borussia Mönchengladbach,1. FC Heidenheim,3,2,1,2,H,7,10,10,8,3,3,5,5,6,9,L,L,W,W,L,L,L,L,W,W,7
57,2024-10-19,FSV Mainz 05,RB Leipzig,0,2,0,0,A,11,9,10,2,3,2,4,5,8,14,W,W,L,W,W,D,L,D,D,W,7
58,2024-10-19,1899 Hoffenheim,VfL Bochum,3,1,1,2,H,10,6,16,14,8,8,5,2,4,1,D,L,L,L,L,D,L,L,L,L,7
59,2024-10-19,Bayer Leverkusen,Eintracht Frankfurt,2,1,1,1,H,16,14,12,9,8,9,4,4,11,13,D,D,D,W,W,W,W,W,L,W,7
60,2024-10-19,Bayern München,VfB Stuttgart,4,0,0,4,H,20,15,7,11,6,7,3,8,14,9,D,D,D,D,W,W,W,W,W,D,7
61,2024-10-20,Holstein Kiel,Union Berlin,0,2,0,0,A,9,6,19,4,2,7,8,0,2,11,D,W,L,L,D,W,L,D,L,W,7
62,2024-10-20,VfL Wolfsburg,Werder Bremen,2,4,1,1,A,13,8,12,12,4,0,6,6,7,8,W,L,D,W,L,L,L,W,W,D,7
63,2024-10-25,FSV Mainz 05,Borussia Mönchengladbach,1,1,0,1,D,11,10,12,12,3,4,4,7,8,9,L,W,W,L,L,W,W,L,L,L,8
64,2024-10-26,FC Augsburg,Borussia Dortmund,2,1,1,1,H,10,14,18,12,8,8,12,11,7,13,L,W,W,L,L,W,L,L,W,W,8
65,2024-10-26,VfB Stuttgart,Holstein Kiel,2,1,1,1,H,15,9,15,21,11,2,8,8,9,2,L,L,D,D,D,L,W,D,W,L,8
66,2024-10-26,RB Leipzig,SC Freiburg,3,1,0,3,H,11,12,2,8,2,5,5,5,17,15,W,W,W,W,W,L,D,W,D,W,8
67,2024-10-26,FC St. Pauli,VfL Wolfsburg,0,0,0,0,D,5,15,11,16,4,5,2,7,4,7,L,L,L,W,W,D,D,L,L,L,8
68,2024-10-26,Werder Bremen,Bayer Leverkusen,2,2,0,2,D,12,18,14,13,1,9,7,5,11,14,W,W,L,D,W,D,L,W,W,W,8
69,2024-10-27,VfL Bochum,Bayern München,0,5,0,0,A,7,24,17,7,10,6,3,7,1,17,L,W,L,D,L,D,D,W,L,W,8
70,2024-10-27,Union Berlin,Eintracht Frankfurt,1,1,0,1,D,8,15,4,11,7,10,0,5,14,13,W,L,W,D,L,W,W,W,D,W,8
71,2024-10-27,1. FC Heidenheim,1899 Hoffenheim,0,0,0,0,D,12,13,11,17,5,9,6,7,9,7,L,W,L,D,W,L,L,L,L,L,8
72,2024-11-01,Bayer Leverkusen,VfB Stuttgart,0,0,0,0,D,20,17,15,16,11,12,5,9,15,12,D,W,W,L,D,D,D,D,W,W,9
73,2024-11-02,Bayern München,Union Berlin,3,0,2,1,H,29,9,7,5,6,7,7,1,20,15,W,D,W,W,D,W,D,L,W,W,9
74,2024-11-02,VfL Wolfsburg,FC Augsburg,1,1,0,1,D,15,12,16,19,5,9,7,13,8,10,D,W,L,L,W,W,D,L,L,L,9
75,2024-11-02,1899 Hoffenheim,FC St. Pauli,0,2,0,0,A,13,5,17,11,9,4,7,2,8,5,D,D,W,L,D,L,L,W,L,D,9
76,2024-11-02,Eintracht Frankfurt,VfL Bochum,7,2,4,3,H,16,7,12,22,11,10,5,3,14,1,D,L,L,L,D,L,W,L,W,D,9
77,2024-11-02,Holstein Kiel,1. FC Heidenheim,1,0,1,0,H,10,12,23,11,3,5,9,6,2,10,L,D,L,L,D,L,L,W,D,L,9
78,2024-11-02,Borussia Dortmund,RB Leipzig,2,1,1,1,H,15,14,14,3,9,2,12,8,13,20,L,W,W,W,L,W,W,W,L,D,9
79,2024-11-03,SC Freiburg,FSV Mainz 05,0,0,0,0,D,13,12,11,13,8,3,5,5,15,9,L,D,W,L,W,W,L,L,W,W,9
80,2024-11-03,Borussia Mönchengladbach,Werder Bremen,4,1,3,1,H,11,14,13,16,5,1,7,9,10,12,D,D,W,W,L,L,W,W,L,L,9
81,2024-11-08,Union Berlin,SC Freiburg,0,0,0,0,D,9,13,8,11,8,8,3,5,15,16,L,D,D,L,W,W,W,W,L,L,10
