,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D
107,2024-12-01,Heidenheim,Ein Frankfurt,0,4,A,0.0,1.0,A,3.7,1.95,3.7
108,2024-12-06,Stuttgart,Union Berlin,3,2,H,0.0,1.0,A,1.8,4.5,3.6
109,2024-12-07,Bayern Munich,Heidenheim,4,2,H,1.0,0.0,H,1.1,19.0,11.0
110,2024-12-07,Bochum,Werder Bremen,0,1,A,0.0,0.0,D,3.2,2.2,3.5
111,2024-12-07,Ein Frankfurt,Augsburg,2,2,D,0.0,0.0,D,1.53,6.25,4.1
112,2024-12-07,Holstein Kiel,RB Leipzig,0,2,A,0.0,1.0,A,5.75,1.57,4.2
113,2024-12-07,Leverkusen,St Pauli,2,1,H,2.0,0.0,H,1.25,10.0,6.5
114,2024-12-07,M'gladbach,Dortmund,1,1,D,0.0,0.0,D,3.2,2.1,3.75
115,2024-12-08,Wolfsburg,Mainz,4,3,H,1.0,2.0,A,2.15,3.5,3.3
116,2024-12-08,Hoffenheim,Freiburg,1,1,D,0.0,0.0,D,2.7,2.55,3.4
117,2024-12-13,Freiburg,Wolfsburg,3,2,H,1.0,0.0,H,2.2,3.3,3.3
118,2024-12-14,Augsburg,Leverkusen,0,2,A,0.0,2.0,A,5.75,1.57,4.0
119,2024-12-14,Mainz,Bayern Munich,2,1,H,1.0,0.0,H,6.5,1.48,4.5
120,2024-12-14,M'gladbach,Holstein Kiel,4,1,H,3.0,1.0,H,1.44,6.5,4.75
121,2024-12-14,Union Berlin,Bochum,0,2,A,,,,1.6,6.0,3.8
122,2024-12-14,St Pauli,Werder Bremen,0,2,A,0.0,1.0,A,2.63,2.63,3.4
123,2024-12-15,Heidenheim,Stuttgart,1,3,A,1.0,2.0,A,4.0,1.8,4.0
124,2024-12-15,Dortmund,Hoffenheim,1,1,D,0.0,0.0,D,1.44,6.0,5.0
125,2024-12-15,RB Leipzig,Ein Frankfurt,2,1,H,1.0,1.0,D,2.05,3.2,4.0
126,2024-12-20,Bayern Munich,RB Leipzig,5,1,H,3.0,1.0,H,1.2,11.0,7.5
127,2024-12-21,Ein Frankfurt,Mainz,1,3,A,0.0,2.0,A,1.83,3.9,4.0
128,2024-12-21,Hoffenheim,M'gladbach,1,2,A,0.0,1.0,A,2.3,2.9,3.6
129,2024-12-21,Holstein Kiel,Augsburg,5,1,H,4.0,1.0,H,3.0,2.35,3.4
130,2024-12-21,Stuttgart,St Pauli,0,1,A,0.0,1.0,A,1.45,6.5,4.75
131,2024-12-21,Werder Bremen,Union Berlin,4,1,H,3.0,1.0,H,2.05,3.75,3.3
